id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
8418105,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,550,,JP,SG,MY,T,W,I,,02d7666963,
8418106,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,600,,JP,SG,MY,T,W,I,,718cc725b1,
8418107,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,800,,JP,SG,MY,T,W,I,,9b549ae30b,
8418108,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (large),2,,JP,US,LA,T,W,I,,45abc4f920,
8418109,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,68,,JP,SG,MY,T,W,I,,ab0f402447,
8418110,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,80,,JP,SG,MY,T,W,I,,c56b8a4616,
8418111,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),1,pairs,GB,TH,,,I,I,,,
8418112,2002,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,bodies,2,,FR,GA,,P,O,I,974f9f9a5a,2500215607,
8418113,2002,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,live,16,,US,TG,,T,W,E,,c7b409afe9,
8418015,2002,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,1000,,MX,JP,MY,T,W,I,bd6678b6a2,dae015c06a,cca22ee99e
8418016,2002,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,1042,,MX,JP,MY,T,W,I,30953d178c,8f30c27cbd,972c9840f4
8914712,2004,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,bodies,1,"",FR,GA,"",S,W,E,"",f1aa91fde0,""
8914713,2003,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,"",MX,JP,MY,T,W,I,d409fdc3f1,61182c14ee,""
8914714,2003,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,"",MX,JP,MY,T,W,I,e16c34e15d,679be093dc,""
8914715,2003,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,540,"",MX,JP,MY,T,W,I,4a6a256d11,01aca313e7,""
8914716,2003,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",MX,LA,"",T,W,I,978d996745,24511a2fb7,""
8914717,2001,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (large),1,"",JP,DE,MY,T,W,I,"",e7f191172e,""
8914718,2001,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,750,"",MX,JP,MY,T,W,E,"",f5b678867c,""
8914719,2001,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,1,"",US,JP,MY,T,W,E,"",002a1ac945,""
8914720,2001,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,1000,"",MX,JP,MY,T,W,E,"",18cc88b13d,""
8914721,2001,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,4,"",CH,JP,MY,T,W,E,"",ec0861ba22,""
8914722,2001,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,750,"",MX,JP,MY,T,W,E,"",4eaf8db9a1,""
8914723,2003,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,specimens,41,"",JP,ID,"",S,W,E,"",7e1ce865ec,""
8914724,2002,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),3,"",CN,JP,MY,T,W,E,"",c281e30024,""
8914725,2002,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),13,"",CN,JP,MY,T,W,E,"",fa28af6b96,""
8914726,2002,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,10,"",CN,JP,MY,T,W,E,"",c281e30024,""
8914727,2002,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,"",MX,JP,MY,T,W,E,"",e38fabea43,""
8914728,2002,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,1000,"",MX,JP,MY,T,W,E,"",dae015c06a,""
