App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,derivatives,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
II,Manis javanica,garments,,MX,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,garments,,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
II,Manis javanica,leather,pieces,JP,,,,,,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,pairs,CA,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,CA,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,FR,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,IT,,,,,,,,,7,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,JP,,,,,,,,,,70,300,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,LA,,,,,,,,,,,,,,,,,,,,14,750,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,MX,,,,,,,,,154,25,94,161,410,,,,91,41,,,1,1,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,PH,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,TH,,,,,,,,,,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,US,,,,,,,,16,,,7,,54,3,,,10,3,7,,1,3,1,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,ZA,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (large),,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (large),,MX,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (large),,US,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),pairs,MX,,,,,,,,,,,,,,,,,,,,,,,,,,1553,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),pairs,TH,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),pairs,US,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,FR,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,IT,,,,,,,,,32,37,,18,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,JP,,,,,,,,,,375,,,72,,,,,,,,,,,,,,,16,,,,,,,,1,,,,,,,,
II,Manis javanica,leather products (small),,LA,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,MX,,,,,,,,,,,,,,,,,20,13,,,,,,,849,1713,1,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,SG,,,,,,,,,,,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,TH,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,US,,,,,,,,,,1,,,,2,,,,,,12,,10,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,CO,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,ES,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,ID,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,JP,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,MY,,,,,,,,,,,,,,,,,,,,,,,,12,,50,,,,,,,,,,,,,11,,,,,
II,Manis javanica,live,,PH,,,,,,,,,,,,,,45,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,TH,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
