App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis gigantea,skins,,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
II,Manis gigantea,skins,,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,
II,Manis gigantea,skins,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
II,Manis gigantea,skins,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,
II,Manis gigantea,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
II,Manis gigantea,trophies,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
II,Manis javanica,bodies,,GB,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
II,Manis javanica,bodies,,HK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,JP,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,LU,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,NL,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
II,Manis javanica,bodies,,US,,,,,,,,,,,,,,,,1,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,derivatives,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
II,Manis javanica,garments,,US,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,1,1,,,,
II,Manis javanica,leather,pieces,CH,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather,pieces,FR,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather,pieces,US,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,pairs,US,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,CA,,,,,,,,16,,,,,,3,,,,,7,,,3,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,CH,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,CN,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,JP,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather items,,US,,,,,,,,,161,96,387,179,428,,2,3,81,38,,14,750,134,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (large),,JP,,,,,,,,,,,,,,,,,,,,,,,,12,2,,1,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (large),,US,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),pairs,CH,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
