,cause,court info,date,url
37,違反野生動物保育法,臺灣臺中地方法院 99 年度 訴 字第 2614 號刑事判決（3K）,99.09.30,https://law.judicial.gov.tw/FJUD/data.aspx?ro=37&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
38,違反槍砲彈藥刀械管制條例等,臺灣高雄地方法院 99 年度 訴 字第 931 號刑事判決（18K）,99.09.09,https://law.judicial.gov.tw/FJUD/data.aspx?ro=38&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
39,排除侵害等,臺灣新竹地方法院 99 年度 竹簡 字第 277 號民事判決（30K）,99.08.31,https://law.judicial.gov.tw/FJUD/data.aspx?ro=39&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
40,違反野生動物保育法等,臺灣高等法院 高雄分院 97 年度 上訴 字第 1097 號刑事判決（31K）,97.08.14,https://law.judicial.gov.tw/FJUD/data.aspx?ro=40&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
41,違反野生動物保育法等,臺灣高雄地方法院 97 年度 訴 字第 652 號刑事判決（30K）,97.05.15,https://law.judicial.gov.tw/FJUD/data.aspx?ro=41&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
42,國家賠償,臺灣高等法院 高雄分院 96 年度 上國易 字第 3 號民事判決（13K）,97.02.29,https://law.judicial.gov.tw/FJUD/data.aspx?ro=42&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
43,綜合所得稅,臺北高等行政法院 95 年度 訴 字第 3777 號行政判決（36K）,96.10.11,https://law.judicial.gov.tw/FJUD/data.aspx?ro=43&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
44,違反毒品危害防制條例,臺灣高等法院 臺南分院 95 年度 上訴 字第 619 號刑事判決（51K）,96.08.02,https://law.judicial.gov.tw/FJUD/data.aspx?ro=44&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
45,國家賠償,臺灣高雄地方法院 94 年度 國 字第 17 號民事判決（30K）,96.07.25,https://law.judicial.gov.tw/FJUD/data.aspx?ro=45&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
46,違反野生動物保育法,臺灣臺東地方法院 96 年度 東簡 字第 193 號刑事判決（2K）,96.04.25,https://law.judicial.gov.tw/FJUD/data.aspx?ro=46&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
47,違反野生動物保育法,臺灣高雄地方法院 95 年度 訴 字第 2194 號刑事判決（3K）,95.10.05,https://law.judicial.gov.tw/FJUD/data.aspx?ro=47&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
48,虛報進口貨物,臺北高等行政法院 94 年度 訴 字第 3604 號行政判決（30K）,95.09.28,https://law.judicial.gov.tw/FJUD/data.aspx?ro=48&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
49,違反毒品危害防制條例,臺灣雲林地方法院 95 年度 重訴 字第 4 號刑事判決（129K）,95.05.11,https://law.judicial.gov.tw/FJUD/data.aspx?ro=49&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
50,虛報進口貨物,臺北高等行政法院 94 年度 訴 字第 1694 號行政判決（33K）,95.04.19,https://law.judicial.gov.tw/FJUD/data.aspx?ro=50&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
51,違反毒品危害防制條例,臺灣雲林地方法院 94 年度 訴 字第 236 號刑事判決（5K）,94.05.18,https://law.judicial.gov.tw/FJUD/data.aspx?ro=51&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
52,違反毒品危害防制條例,臺灣雲林地方法院 94 年度 訴 字第 211 號刑事判決（5K）,94.04.22,https://law.judicial.gov.tw/FJUD/data.aspx?ro=52&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
53,毒品危害防制條例,臺灣嘉義地方法院 94 年度 訴 字第 25 號刑事判決（4K）,94.02.05,https://law.judicial.gov.tw/FJUD/data.aspx?ro=53&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
54,違反野生動物保育法,臺灣基隆地方法院 93 年度 基簡 字第 876 號刑事判決（3K）,93.11.02,https://law.judicial.gov.tw/FJUD/data.aspx?ro=54&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
55,殺人未遂等,臺灣高等法院 臺中分院 92 年度 重上更(七) 字第 271 號刑事判決（53K）,93.09.23,https://law.judicial.gov.tw/FJUD/data.aspx?ro=55&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
56,野生動物保育法,臺灣高等法院 高雄分院 93 年度 上訴 字第 137 號刑事判決（15K）,93.05.28,https://law.judicial.gov.tw/FJUD/data.aspx?ro=56&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
57,虛報進口貨物,高雄高等行政法院 92 年度 訴 字第 679 號行政判決（39K）,93.05.04,https://law.judicial.gov.tw/FJUD/data.aspx?ro=57&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
58,虛報進口貨物,高雄高等行政法院 92 年度 訴更 字第 74 號行政判決（7K）,93.03.25,https://law.judicial.gov.tw/FJUD/data.aspx?ro=58&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
