,year,court,lat,lng,confidence
160,2015,莆田市城厢区人民法院,25.42738004,119.0124353,75
161,2019,常山县人民法院,28.90711816,118.5306202,80
162,2016,东兴市人民法院,21.56114478,107.9960808,80
163,2015,昆明市盘龙区人民法院,25.07373012,102.7258984,90
164,2017,东阳市人民法院,29.29381509,120.2523938,80
165,2019,玉林市中级人民法院,22.64345763,110.1724287,75
166,2016,磐安县人民法院,29.05335031,120.458538,80
167,2017,樟树市人民法院,28.06411899,115.5469752,80
168,2018,亳州市谯城区人民法院,33.85284223,115.7902792,80
169,2018,龙岩市新罗区人民法院,25.08079084,117.0302706,80
170,2016,公诉机关东阳市人民检察院,29.29742357,120.2455881,70
171,2016,梁河县人民法院,24.81974385,98.31455065,80
172,2017,电白县人民法院,21.54287031,111.0209465,80
173,2013,常山县人民法院,28.90711816,118.5306202,80
174,2014,文山市人民法院,23.39194413,104.2385438,14
175,2016,东兴市人民法院,21.56114478,107.9960808,80
176,2014,茶陵县人民法院,26.77967881,113.5348856,75
177,2018,武汉市硚口区人民法院,30.60737948,114.2221617,80
178,2016,龙陵县人民法院,24.59961488,98.70100458,80
179,2016,广州市天河区人民法院,23.11716388,113.4123101,75
180,2015,浦城县人民法院,27.92429491,118.5370758,80
181,2016,东阳市人民法院,29.29381509,120.2523938,80
182,2013,深圳市福田区人民法院,22.52671293,114.060951,80
183,2017,钦州市钦南区人民法院,21.9444695,108.6571004,80
184,2016,广州市中级人民法院,23.13403896,113.2787667,80
185,2013,大新县人民法院,22.83851084,107.2055456,80
186,2014,陇川县人民法院,24.18199214,97.79389996,80
187,2014,陇川县人民法院,24.18199214,97.79389996,80
188,2017,诸暨市人民法院,29.72031747,120.2575927,80
189,2014,德宏傣族景颇族自治州中级人民法院,24.45082177,98.5874334,80
190,2015,仙居县人民法院,28.85260088,120.7455509,80
191,2016,金华市中级人民法院,29.08697501,119.650771,75
192,2018,茂名市茂南区人民法院,21.67021018,110.9193252,80
193,2016,广州市荔湾区人民法院,23.07780318,113.2233862,80
194,2014,南京市鼓楼区人民法院,32.07124798,118.7509425,80
195,2014,茶陵县人民法院,26.77967881,113.5348856,75
196,2017,重庆市涪陵区人民法院,29.70659464,107.3771086,80
197,2017,陇川县人民法院,24.18199214,97.79389996,80
198,2016,磐安县人民法院,29.05335031,120.458538,80
199,2017,宁蒗彝族自治县人民法院,27.29267203,100.8624747,80
200,2016,郑州市中级人民法院,34.77142861,113.7549071,70
201,2014,惠州市中级人民法院,23.13328185,114.4231523,80
202,2016,上虞市人民法院,30.04108101,120.8717556,80
203,2017,永康市人民法院,28.90359747,120.0472314,80
204,2016,武平县人民法院,25.09219568,116.1042713,80
205,2016,上海市普陀区人民法院,31.25629164,121.4000675,80
206,2019,元江哈尼族彝族傣族自治县人民法院,23.61042787,102.0033815,80
207,2018,红河哈尼族彝族自治州中级人民法院,23.37763845,103.3802089,80
208,2015,石林彝族自治县人民法院,24.77243686,103.2899954,70
209,2013,浙江省杭州市余杭区人民检察院,30.41450285,120.3113491,80
210,2014,新邵县人民法院,27.31444405,111.4668414,80
211,2017,安宁市人民法院,24.92609861,102.4697904,75
212,2019,兴国县人民法院,26.33820915,115.3674273,80
213,2016,天台县人民法院,29.1590224,120.9962254,70
214,2017,温州市中级人民法院,27.99594024,120.7016073,80
215,2016,龙州县人民法院,22.35600805,106.8790437,75
216,2017,安宁市人民法院,24.92609861,102.4697904,75
217,2017,玉林市中级人民法院,22.64345763,110.1724287,75
218,2018,芒市人民法院,24.44503386,98.59295169,80
219,2018,容县人民法院,22.84871653,110.5403585,75
220,2018,陇川县人民法院,24.18199214,97.79389996,80
221,2014,无锡市惠山区人民法院,31.68246123,120.3080366,80
222,2014,钦州市钦南区人民法院,21.9444695,108.6571004,80
