,year,court,lat,lng,confidence,province
56,2009,杭州市西湖区人民法院,30.287892432507647,120.12246692786333,80.0,浙江
57,2014,南京市鼓楼区人民法院,32.0712479822365,118.75094253008047,80.0,江苏
58,2011,郑州市金水区人民法院,34.78160422158237,113.67309336332073,80.0,河南
59,2016,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0,广东
60,2015,莆田市城厢区人民法院,25.42738003689909,119.01243530586872,75.0,福建
61,2019,常山县人民法院,28.907118156952727,118.53062015011982,80.0,浙江
62,2015,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
63,2019,玉林市中级人民法院,22.643457627981853,110.17242870143623,75.0,广西壮族自治区
64,2018,龙岩市新罗区人民法院,25.0807908369927,117.03027062920634,80.0,福建
65,2016,广州市天河区人民法院,23.117163875178658,113.41231010115204,75.0,广东
66,2013,深圳市福田区人民法院,22.526712926253957,114.0609509699689,80.0,广东
67,2017,钦州市钦南区人民法院,21.944469499718174,108.65710036014903,80.0,广西壮族自治区
68,2013,大新县人民法院,22.838510836149666,107.2055455970802,80.0,广西壮族自治区
69,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
70,2015,仙居县人民法院,28.852600878817455,120.74555093426301,80.0,浙江
71,2018,茂名市茂南区人民法院,21.67021018381725,110.91932521990155,80.0,广东
72,2017,重庆市涪陵区人民法院,29.706594637925914,107.37710862127047,80.0,重庆市
73,2017,宁蒗彝族自治县人民法院,27.29267202652609,100.86247474908917,80.0,云南
74,2018,红河哈尼族彝族自治州中级人民法院,23.377638448996137,103.38020887058944,80.0,云南
75,2019,兴国县人民法院,26.33820914675232,115.36742728849441,80.0,江西
76,2016,天台县人民法院,29.159022404535186,120.99622535675756,70.0,浙江
77,2017,温州市中级人民法院,27.99594024058147,120.70160728218772,80.0,浙江
78,2016,龙州县人民法院,22.356008052021654,106.87904368029238,75.0,广西壮族自治区
79,2018,容县人民法院,22.848716527329636,110.5403585037364,75.0,广西壮族自治区
80,2014,无锡市惠山区人民法院,31.68246122786479,120.308036552605,80.0,江苏
81,2014,钦州市钦南区人民法院,21.944469499718174,108.65710036014903,80.0,广西壮族自治区
82,2015,富阳市人民法院,30.065861693886067,119.95035204938907,80.0,浙江
