,year,court,lat,lng,confidence,province
33,2018,揭西县人民法院,23.433265923681603,115.8586537566105,80.0,广东
34,2017,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
35,2017,勐腊县人民法院,21.49094586430048,101.57673137638567,80.0,云南
36,2018,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
37,2014,长沙市芙蓉区人民法院,28.19378605671886,113.04209048397207,75.0,湖南
38,2018,澜沧拉祜族自治县人民法院,22.56007888362059,99.93286589748155,80.0,云南
39,2017,从化市人民法院,23.564076578083654,113.61387761451871,80.0,广东
40,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
41,2018,芒市人民法院,24.44503385788426,98.59295169246057,80.0,云南
42,2018,保山市隆阳区人民法院,25.13781315922483,99.18195098358994,80.0,云南
43,2015,益阳市赫山区人民法院,28.56970760388178,112.39352491561458,80.0,湖南
44,2018,丽江市古城区人民法院,26.89553878938296,100.22200369040817,80.0,云南
45,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
46,2018,普洱市思茅区人民法院,22.76636067378394,100.97426446807201,80.0,云南
47,2017,玉林市玉州区人民法院,22.636689036494865,110.15823648048546,80.0,广西壮族自治区
48,2016,阿里地区中级人民法院,32.508826562022826,80.09987393107276,80.0,西藏自治区
49,2015,勐海县人民法院,21.95735900600114,100.44547541256016,80.0,云南
50,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
51,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
52,2015,广州市荔湾区人民法院,23.077803184442907,113.22338615878326,80.0,广东
53,2018,南宁市兴宁区人民法院,22.858226127143688,108.37302772392353,75.0,广西壮族自治区
54,2016,南京市建邺区人民法院,32.04447888373356,118.78765277018685,80.0,江苏
55,2011,郑州市金水区人民法院,34.78160422158237,113.67309336332073,80.0,河南
56,2017,永康市人民法院,28.903597467244335,120.04723136599694,80.0,浙江
57,2018,梁河县人民法院,24.81974384826699,98.3145506455112,80.0,云南
58,2018,丽江市古城区人民法院,26.89553878938296,100.22200369040817,80.0,云南
59,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
60,2015,莆田市城厢区人民法院,25.42738003689909,119.01243530586872,75.0,福建
61,2015,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
62,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
63,2017,樟树市人民法院,28.064118985202636,115.54697520393644,80.0,江西
64,2018,亳州市谯城区人民法院,33.85284223402399,115.79027920316321,80.0,安徽
65,2018,龙岩市新罗区人民法院,25.0807908369927,117.03027062920634,80.0,福建
66,2016,梁河县人民法院,24.81974384826699,98.3145506455112,80.0,云南
67,2016,龙陵县人民法院,24.599614875168633,98.701004583591,80.0,云南
68,2016,广州市天河区人民法院,23.117163875178658,113.41231010115204,75.0,广东
