,year,court,lat,lng,confidence,province
132,2014,东兴市人民法院,21.561144783137035,107.99608082613757,80.0,广西壮族自治区
133,2017,大田县人民法院,25.698650208305374,117.85200189939361,80.0,福建
134,2012,江山市人民法院,28.756654832107717,118.64922207820645,80.0,浙江
135,2013,深圳市罗湖区人民法院,22.56167958904672,114.15247850897707,75.0,广东
136,2014,中山市中级人民法院,22.520485544177774,113.39683752356169,80.0,广东
137,2017,兰溪市人民法院,29.209505760333844,119.46767200634999,80.0,浙江
138,2018,肇庆市中级人民法院,23.085953312955443,112.51459347654601,75.0,广东
139,2015,衢州市中级人民法院,28.941703020045512,118.87929271131051,80.0,浙江
140,2006,鹤山市人民法院,22.782059336722607,112.98640137956106,80.0,广东
141,2017,佛山市禅城区人民法院,23.021795673125236,113.11549819115459,90.0,广东
142,2014,广州市花都区人民法院,23.37862422702307,113.21552541784446,90.0,广东
143,2016,宁德市蕉城区人民法院,26.642377430472592,119.54935923282191,80.0,福建
144,2014,深圳市罗湖区人民法院,22.56167958904672,114.15247850897707,75.0,广东
145,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
146,2017,南宁市兴宁区人民法院,22.858226127143688,108.37302772392353,75.0,广西壮族自治区
147,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
148,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
149,2016,佛山市顺德区人民法院,22.82830932819159,113.2585208294034,80.0,广东
150,2014,南京市鼓楼区人民法院,32.0712479822365,118.75094253008047,80.0,江苏
151,2018,芒市人民法院,24.44503385788426,98.59295169246057,80.0,云南
152,2016,勐海县人民法院,21.95735900600114,100.44547541256016,80.0,云南
153,2018,从化市人民法院,23.564076578083654,113.61387761451871,80.0,广东
154,2014,南京市鼓楼区人民法院,32.0712479822365,118.75094253008047,80.0,江苏
155,2014,普洱市思茅区人民法院,22.76636067378394,100.97426446807201,80.0,云南
156,2014,河源市源城区人民法院,23.74104376026581,114.70616635643655,80.0,广东
157,2014,普洱市思茅区人民法院,22.76636067378394,100.97426446807201,80.0,云南
158,2016,勐海县人民法院,21.95735900600114,100.44547541256016,80.0,云南
159,2019,钦州市钦南区人民法院,21.944469499718174,108.65710036014903,80.0,广西壮族自治区
160,2016,永嘉县人民法院,28.153329306264546,120.68954955280596,75.0,浙江
161,2016,梁河县人民法院,24.81974384826699,98.3145506455112,80.0,云南
162,2017,绍兴县人民法院,30.091342397451463,120.49031989821478,80.0,浙江
163,2016,东兴市人民法院,21.561144783137035,107.99608082613757,80.0,广西壮族自治区
164,2014,陇川县人民法院,24.181992138288827,97.79389995854405,80.0,云南
165,2014,福清市人民法院,25.730149095151585,119.39645056726948,80.0,福建
166,2017,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
167,2017,瑞丽市人民法院,24.00396904535055,97.856089636403,80.0,云南
168,2017,腾冲市人民法院,25.026616860345513,98.49759503548854,12.0,云南
169,2017,腾冲市人民法院,25.026616860345513,98.49759503548854,12.0,云南
170,2018,北海市中级人民法院,21.49155899760095,109.13334552138174,80.0,广西壮族自治区
